timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649178590379,7,http://localhost:8085/api/v1/adverts/categories,200,,Thread Group 1-55,text,true,,602,348,61,61,http://localhost:8085/api/v1/adverts/categories,7,0,0
1649178590328,58,http://localhost:3000/,200,OK,Thread Group 1-61,text,true,,3810386,2509,61,61,http://localhost:3000/,17,0,0
1649178590379,7,http://localhost:8085/api/v1/users/roles,200,,Thread Group 1-8,text,true,,608,341,61,61,http://localhost:8085/api/v1/users/roles,7,0,0
1649178590328,17,http://localhost:3000/-0,200,OK,Thread Group 1-61,text,true,,2066,485,61,61,http://localhost:3000/,17,0,0
1649178590345,41,http://localhost:3000/-1,200,OK,Thread Group 1-61,bin,true,,5134,496,61,61,http://localhost:3000/favicon.ico,41,0,0
1649178590345,21,http://localhost:3000/-2,200,OK,Thread Group 1-61,text,true,,36158,504,61,61,http://localhost:3000/static/js/bundle.js,21,0,0
1649178590345,27,http://localhost:3000/-3,200,OK,Thread Group 1-61,text,true,,3219284,516,61,61,http://localhost:3000/static/js/vendors~main.chunk.js,18,0,0
1649178590345,20,http://localhost:3000/-4,200,OK,Thread Group 1-61,text,true,,547744,508,61,61,http://localhost:3000/static/js/main.chunk.js,18,0,0
1649178590289,97,http://localhost:3000/,200,OK,Thread Group 1-57,text,true,,3810386,2509,61,61,http://localhost:3000/,55,0,1
1649178590289,55,http://localhost:3000/-0,200,OK,Thread Group 1-57,text,true,,2066,485,61,61,http://localhost:3000/,55,0,1
1649178590344,42,http://localhost:3000/-1,200,OK,Thread Group 1-57,bin,true,,5134,496,61,61,http://localhost:3000/favicon.ico,42,0,1
1649178590344,10,http://localhost:3000/-2,200,OK,Thread Group 1-57,text,true,,36158,504,61,61,http://localhost:3000/static/js/bundle.js,10,0,1
1649178590344,24,http://localhost:3000/-3,200,OK,Thread Group 1-57,text,true,,3219284,516,61,61,http://localhost:3000/static/js/vendors~main.chunk.js,12,0,1
1649178590344,3,http://localhost:3000/-4,200,OK,Thread Group 1-57,text,true,,547744,508,61,61,http://localhost:3000/static/js/main.chunk.js,2,0,0
